[INFO] 13:44:15 - Démarrage du logger !
[INFO] 13:44:15 - Chargement du fichier un_fichier_qui_existe_pas.xml...
[ERROR] 13:44:15 - Fichier : un_fichier_qui_existe_pas.xml introuvable !
[INFO] 13:44:15 - Chargement du fichier ./XML/diagramme.xml...
[DEBUG] 13:44:15 - E10 variable:X10 X:0 Y:0 initiale:True active:False actions:[]
[DEBUG] 13:44:15 - E20 variable:X20 X:0 Y:2 initiale:False active:False actions:[]
[DEBUG] 13:44:15 - E30 variable:X30 X:1 Y:2 initiale:False active:False actions:[]
[DEBUG] 13:44:15 - E40 variable:X40 X:3 Y:0 initiale:False active:False actions:[]
[DEBUG] 13:44:15 - E50 variable:X50 X:3 Y:2 initiale:False active:False actions:[]
[DEBUG] 13:44:15 - E60 variable:X60 X:4 Y:2 initiale:True active:False actions:[]
[DEBUG] 13:44:15 - E70 variable:X70 X:2 Y:4 initiale:False active:False actions:[]
[DEBUG] 13:44:15 - E80 variable:X80 X:2 Y:6 initiale:False active:False actions:[]
[DEBUG] 13:44:15 - T11 variable:(11) X:0 Y:1 condition:False
[DEBUG] 13:44:15 - T21 variable:(21) X:2 Y:3 condition:False
[DEBUG] 13:44:15 - T41 variable:(41) X:3 Y:1 condition:False
[DEBUG] 13:44:15 - T71 variable:(71) X:2 Y:5 condition:False
[DEBUG] 13:44:15 - T81 variable:(81) X:2 Y:7 condition:False
[DEBUG] 13:44:15 - L0 X:0 Y:0 étapes: transition:None amont:True
[DEBUG] 13:44:15 - L0 X:0 Y:1 étapes:10, transition:11 amont:True
[DEBUG] 13:44:15 - L1 X:0 Y:0 étapes: transition:None amont:True
[DEBUG] 13:44:15 - L1 X:0 Y:1 étapes:20,30, transition:11 amont:False
[DEBUG] 13:44:15 - L2 X:0 Y:0 étapes: transition:None amont:True
[DEBUG] 13:44:15 - L2 X:2 Y:3 étapes:20,30, transition:21 amont:True
[DEBUG] 13:44:15 - L3 X:0 Y:0 étapes: transition:None amont:True
[DEBUG] 13:44:15 - L3 X:3 Y:1 étapes:40, transition:41 amont:True
[DEBUG] 13:44:15 - L4 X:0 Y:0 étapes: transition:None amont:True
[DEBUG] 13:44:15 - L4 X:3 Y:1 étapes:50, transition:41 amont:False
[DEBUG] 13:44:15 - L5 X:0 Y:0 étapes: transition:None amont:True
[DEBUG] 13:44:15 - L5 X:2 Y:3 étapes:50,60, transition:21 amont:True
[DEBUG] 13:44:15 - L6 X:0 Y:0 étapes: transition:None amont:True
[DEBUG] 13:44:15 - L6 X:2 Y:3 étapes:70, transition:21 amont:False
[DEBUG] 13:44:15 - L7 X:0 Y:0 étapes: transition:None amont:True
[DEBUG] 13:44:15 - L7 X:2 Y:5 étapes:70, transition:71 amont:True
[DEBUG] 13:44:15 - L8 X:0 Y:0 étapes: transition:None amont:True
[DEBUG] 13:44:15 - L8 X:2 Y:5 étapes:80, transition:71 amont:False
[DEBUG] 13:44:15 - L9 X:0 Y:0 étapes: transition:None amont:True
[DEBUG] 13:44:15 - L9 X:2 Y:7 étapes:80, transition:81 amont:True
[DEBUG] 13:44:15 - L10 X:0 Y:0 étapes: transition:None amont:True
[DEBUG] 13:44:15 - L10 X:5 Y:2 étapes:40, transition:81 amont:False
[INFO] 13:44:15 - 24 éléments trouvés !
[DEBUG] 13:44:15 - L11 X:0 Y:0 étapes: transition:None amont:True
